Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,2.6,2.87,2.55,2.77,2.77,990200
2017-05-31,2.73,2.73,2.52,2.63,2.63,494600
2017-06-01,2.59,2.67,2.56,2.6,2.6,182800
2017-06-02,2.57,2.8,2.57,2.66,2.66,375300
2017-06-05,3.0,3.15,2.64,2.66,2.66,1507900
2017-06-06,2.61,2.65,2.52,2.61,2.61,355600
2017-06-07,2.58,2.62,2.5,2.59,2.59,168900
2017-06-08,2.56,2.6,2.44,2.59,2.59,273200
2017-06-09,2.56,2.59,2.5,2.55,2.55,143200
2017-06-12,2.52,2.54,2.45,2.46,2.46,104000
2017-06-13,2.43,2.5,2.42,2.48,2.48,81800
2017-06-14,2.51,2.62,2.47,2.52,2.52,193800
2017-06-15,2.51,2.55,2.44,2.45,2.45,64100
2017-06-16,2.44,2.5,2.42,2.5,2.5,90500
2017-06-19,2.5,2.5,2.34,2.37,2.37,159400
2017-06-20,2.38,2.7,2.31,2.54,2.54,480800
2017-06-21,2.51,2.64,2.51,2.58,2.58,143800
2017-06-22,2.55,2.62,2.46,2.48,2.48,60800
2017-06-23,2.5,2.58,2.48,2.48,2.48,44600
2017-06-26,2.49,2.6,2.48,2.51,2.51,58300
2017-06-27,2.54,2.54,2.37,2.4,2.4,93200
2017-06-28,2.41,2.52,2.41,2.49,2.49,93800
2017-06-29,2.47,2.49,2.42,2.49,2.49,26700
2017-06-30,2.52,2.52,2.41,2.43,2.43,62400
2017-07-03,2.41,2.46,2.39,2.41,2.41,45900
2017-07-05,2.49,2.52,2.39,2.43,2.43,150700
2017-07-06,2.4,2.6,2.4,2.49,2.49,211200
2017-07-07,2.5,2.56,2.41,2.48,2.48,161700
2017-07-10,2.54,2.55,2.41,2.48,2.48,74600
2017-07-11,2.44,2.48,2.42,2.45,2.45,77500
2017-07-12,2.45,2.51,2.42,2.42,2.42,68200
2017-07-13,2.6,2.68,2.43,2.68,2.68,813400
2017-07-14,2.68,2.8,2.54,2.6,2.6,353800
2017-07-17,2.69,2.69,2.51,2.57,2.57,91200
2017-07-18,2.53,2.6,2.47,2.55,2.55,51900
2017-07-19,2.55,2.73,2.55,2.61,2.61,152400
2017-07-20,2.66,2.75,2.6,2.68,2.68,170700
2017-07-21,2.7,3.14,2.65,2.8,2.8,696700
2017-07-24,2.82,2.98,2.76,2.95,2.95,135900
2017-07-25,2.99,2.99,2.86,2.88,2.88,149000
2017-07-26,3.02,3.02,2.66,2.82,2.82,272800
2017-07-27,2.8,2.86,2.75,2.81,2.81,102300
2017-07-28,2.8,2.82,2.73,2.75,2.75,72000
2017-07-31,2.73,2.87,2.73,2.87,2.87,73800
2017-08-01,2.94,2.94,2.78,2.8,2.8,55200
2017-08-02,2.84,2.84,2.66,2.72,2.72,73900
2017-08-03,2.73,2.85,2.68,2.69,2.69,113000
2017-08-04,2.73,2.73,2.65,2.65,2.65,58600
2017-08-07,2.73,2.75,2.65,2.74,2.74,56000
2017-08-08,2.78,2.78,2.71,2.76,2.76,15500
2017-08-09,2.77,2.78,2.66,2.68,2.68,84300
2017-08-10,2.68,2.75,2.6,2.74,2.74,69400
2017-08-11,2.72,2.77,2.68,2.69,2.69,61200
2017-08-14,2.66,3.02,2.65,2.79,2.79,205400
2017-08-15,3.75,3.84,2.91,2.95,2.95,10245200
2017-08-16,3.05,3.05,2.53,2.55,2.55,1337300
2017-08-17,2.61,2.81,2.5,2.77,2.77,908300
2017-08-18,2.86,3.14,2.7,3.13,3.13,1561400
2017-08-21,3.09,3.26,2.8,3.1,3.1,654400
2017-08-22,3.12,3.47,3.12,3.37,3.37,884800
2017-08-23,3.33,3.37,3.12,3.28,3.28,614100
2017-08-24,3.3,3.3,3.11,3.23,3.23,369100
2017-08-25,3.23,3.74,3.15,3.51,3.51,1008700
2017-08-28,3.51,3.57,3.21,3.27,3.27,604600
2017-08-29,3.25,3.25,3.0,3.05,3.05,578300
2017-08-30,3.05,3.18,2.95,2.99,2.99,439200
2017-08-31,2.96,3.07,2.8,2.97,2.97,240400
2017-09-01,3.0,3.01,2.85,2.97,2.97,197000
2017-09-05,3.0,3.0,2.86,2.9,2.9,92200
2017-09-06,2.87,2.96,2.82,2.88,2.88,149200
2017-09-07,2.97,2.99,2.7,2.83,2.83,255700
2017-09-08,3.06,3.06,2.7,2.74,2.74,217500
2017-09-11,2.75,2.77,2.58,2.59,2.59,247300
2017-09-12,2.57,2.6,2.51,2.55,2.55,214100
2017-09-13,2.55,2.57,2.46,2.5,2.5,258300
2017-09-14,2.67,2.69,2.42,2.63,2.63,818100
2017-09-15,2.73,3.8,2.7,3.67,3.67,5107600
2017-09-18,3.3,3.83,3.12,3.48,3.48,3930800
2017-09-19,3.6,6.4,3.49,5.7,5.7,12785700
2017-09-20,5.5,7.27,5.47,6.14,6.14,21784300
2017-09-21,6.19,6.3,5.52,5.86,5.86,4871300
2017-09-22,5.75,7.95,5.67,6.97,6.97,10969400
2017-09-25,7.72,9.65,7.7,8.3,8.3,16307300
2017-09-26,9.0,9.58,8.45,9.14,9.14,6040200
2017-09-27,9.05,9.15,8.26,8.73,8.73,3381700
2017-09-28,8.69,11.15,7.25,10.87,10.87,9568900
2017-09-29,11.99,14.17,11.35,12.69,12.69,9576800
2017-10-02,13.83,14.17,12.56,12.98,12.98,4169400
2017-10-03,12.65,13.5,11.5,13.03,13.03,2831600
2017-10-04,12.85,13.24,12.0,12.42,12.42,1661200
2017-10-05,12.33,14.96,12.03,14.25,14.25,5973800
2017-10-06,14.9,16.23,14.32,15.75,15.75,5441300
2017-10-09,16.1,23.49,16.02,21.09,21.09,12679300
2017-10-10,23.07,28.700001,22.75,27.889999,27.889999,14814700
2017-10-11,33.400002,38.860001000000004,28.209999,32.900002,32.900002,23710000
2017-10-12,28.4,30.200001,20.25,20.5,20.5,14917200
2017-10-13,18.4,24.75,17.280001000000002,20.4,20.4,19313600
2017-10-16,22.85,23.200001,20.299999,20.91,20.91,6234000
2017-10-17,20.299999,21.6,17.959999,18.23,18.23,4963500
2017-10-18,18.299999,18.83,16.200001,16.32,16.32,3751300
2017-10-19,15.89,17.940001000000002,15.65,16.110001,16.110001,6815900
2017-10-20,17.57,17.889999,16.200001,16.280001000000002,16.280001000000002,2811700
2017-10-23,16.08,16.33,13.18,13.3,13.3,4295700
2017-10-24,16.809998999999998,16.93,12.18,12.45,12.45,11810000
2017-10-25,12.6,13.06,11.31,11.5,11.5,5671900
2017-10-26,11.48,13.0,11.0,11.61,11.61,4765800
2017-10-27,11.64,12.48,10.53,10.74,10.74,3591000
2017-10-30,10.1,10.58,8.85,9.03,9.03,5425100
2017-10-31,9.11,10.82,8.88,10.62,10.62,6388400
2017-11-01,10.67,11.1,9.5,9.92,9.92,5362000
2017-11-02,10.16,10.2,9.3,9.48,9.48,2616300
2017-11-03,9.39,10.37,9.17,9.65,9.65,3447900
2017-11-06,10.48,14.2,9.92,14.2,14.2,16694000
2017-11-07,13.35,13.76,12.2,12.22,12.22,8379800
2017-11-08,12.0,12.05,10.26,10.45,10.45,4472100
2017-11-09,10.1,11.19,9.62,10.19,10.19,2737000
2017-11-10,10.2,10.95,10.13,10.27,10.27,2184500
2017-11-13,10.25,13.5,9.8,12.33,12.33,7157300
2017-11-14,13.06,13.5,11.6,11.77,11.77,8004100
2017-11-15,11.08,12.48,11.02,12.2,12.2,3040100
2017-11-16,12.34,13.85,11.82,12.42,12.42,6417200
2017-11-17,13.24,13.91,12.6,12.94,12.94,6045500
2017-11-20,13.33,14.74,13.0,13.6,13.6,6414200
2017-11-21,13.9,14.72,13.63,14.33,14.33,4816800
2017-11-22,14.11,14.23,13.21,13.32,13.32,2958900
2017-11-24,13.8,14.15,13.54,13.87,13.87,2186200
2017-11-27,14.0,15.28,13.61,14.5,14.5,4926900
2017-11-28,14.75,15.67,14.6,15.0,15.0,6485200
2017-11-29,15.23,15.45,13.8,13.98,13.98,4080000
2017-11-30,14.05,14.33,13.5,13.62,13.62,1752800
2017-12-01,13.2,13.27,11.8,12.06,12.06,2409900
2017-12-04,12.4,12.49,11.88,12.03,12.03,1528900
2017-12-05,10.59,10.69,9.3,9.5,9.5,6553300
2017-12-06,9.73,9.73,7.35,7.74,7.74,7803400
2017-12-07,7.99,8.75,7.58,8.3,8.3,5939700
2017-12-08,8.54,8.73,8.12,8.45,8.45,2851100
2017-12-11,8.5,9.59,8.48,9.13,9.13,3974100
2017-12-12,11.8,12.0,9.91,10.08,10.08,11380400
2017-12-13,6.5,7.17,6.21,6.79,6.79,21913300
2017-12-14,7.09,7.1,6.59,6.7,6.7,4300600
2017-12-15,6.73,6.78,6.0,6.26,6.26,4368000
2017-12-18,6.42,6.46,5.8,5.94,5.94,5059100
2017-12-19,5.93,6.28,5.7,6.21,6.21,4548400
2017-12-20,6.6,6.68,6.15,6.38,6.38,6559700
2017-12-21,6.6,6.7,6.25,6.35,6.35,4446600
2017-12-22,6.35,6.5,5.95,6.11,6.11,3202300
2017-12-26,6.05,6.2,5.6,5.68,5.68,4264800
2017-12-27,5.68,5.75,5.31,5.39,5.39,4203600
2017-12-28,5.62,6.98,5.45,6.9,6.9,16350600
2017-12-29,6.97,6.97,6.23,6.31,6.31,9993300
2018-01-02,6.43,7.27,6.13,7.23,7.23,5997100
2018-01-03,7.0,7.47,6.8,7.18,7.18,5471100
2018-01-04,7.18,7.67,7.16,7.32,7.32,6820000
2018-01-05,7.54,7.6,7.19,7.31,7.31,2928100
2018-01-08,7.27,7.29,6.65,6.92,6.92,3388800
2018-01-09,7.28,7.49,6.95,7.16,7.16,8768500
2018-01-10,9.85,9.9,8.27,9.17,9.17,26784600
2018-01-11,8.23,8.72,7.92,8.08,8.08,5603689
