,Date,Open,High,Low,Close,Volume,Adj Close,Up or Down,100da,40da,20da
459,4/24/2012,31.82,32.200001,31.0,31.82,674500,31.82,,31.796900090000026,34.48875035,34.36950020000001
460,4/25/2012,32.07,32.990002000000004,32.07,32.91,712200,32.91,1.0,31.798600070000024,34.466250325,34.11800025000001
461,4/26/2012,32.959998999999996,33.52,32.91,33.490002000000004,425300,33.490002000000004,1.0,31.807500110000024,34.468250375,33.90000045000001
462,4/27/2012,33.599998,33.630001,32.91,33.34,591000,33.34,-1.0,31.807900120000028,34.44150037499999,33.70050035000001
463,4/30/2012,33.27,33.360001000000004,32.580002,33.130001,413900,33.130001,-1.0,31.79500015000003,34.41875037499999,33.49500030000001
464,5/1/2012,33.130001,34.209998999999996,33.130001,33.779999,659000,33.779999,1.0,31.784100150000025,34.41900034999999,33.35500015000001
465,5/2/2012,33.5,34.389998999999996,33.389998999999996,33.939999,497300,33.939999,1.0,31.781600150000028,34.43975029999999,33.15150020000001
466,5/3/2012,33.91,34.0,32.130001,32.459998999999996,841300,32.459998999999996,-1.0,31.797300150000027,34.42325029999999,33.02450015000001
467,5/4/2012,32.32,32.459998999999996,31.4,31.83,1247500,31.83,-1.0,31.80520014000003,34.392250299999986,32.892000150000015
468,5/7/2012,31.959999,32.580002,31.610001,32.470001,1158000,32.470001,1.0,31.82580015000003,34.33550027499999,32.85800010000001
469,5/8/2012,32.5,32.73,29.370001000000002,30.190001000000002,3097200,30.190001000000002,-1.0,31.833200150000028,34.190000349999984,32.74450020000002
470,5/9/2012,30.299999,30.77,29.76,30.059998999999998,1947900,30.059998999999998,-1.0,31.84850013000003,34.03925032499999,32.59300015000001
471,5/10/2012,32.970001,34.68,32.400002,32.959998999999996,5556300,32.959998999999996,-1.0,31.891900110000034,33.981000274999985,32.56900015000001
472,5/11/2012,32.490002000000004,33.439999,32.16,32.25,1221300,32.25,-1.0,31.934400110000034,33.912250274999984,32.50200015000001
473,5/14/2012,31.92,32.130001,30.049999,30.059998999999998,1380900,30.059998999999998,-1.0,31.957500100000033,33.78075024999999,32.39250010000001
474,5/15/2012,30.26,30.959999,29.219998999999998,29.43,1585700,29.43,-1.0,31.972800100000033,33.64200024999999,32.252
475,5/16/2012,29.58,30.18,28.879998999999998,29.18,1257100,29.18,-1.0,31.988900100000027,33.49750027499999,32.078
476,5/17/2012,29.299999,29.790001,28.24,28.57,1149000,28.57,-1.0,31.99690010000003,33.33300022499999,31.84850000000001
477,5/18/2012,28.370001000000002,28.459999,26.83,27.559998999999998,1616500,27.559998999999998,-1.0,31.99350009000003,33.16200014999999,31.568499950000007
478,5/21/2012,27.58,29.26,27.120001000000002,28.77,1475200,28.77,1.0,31.99550009000003,33.02925009999999,31.409999900000003
479,5/22/2012,30.1,31.34,30.0,30.799999,2366200,30.799999,1.0,32.01840008000002,32.86425002499999,31.358999849999996
480,5/23/2012,30.559998999999998,31.049999,29.5,31.02,1220400,31.02,1.0,32.04130008000002,32.691250049999994,31.26449985
481,5/24/2012,31.25,31.25,29.690001000000002,30.280001000000002,1075600,30.280001000000002,-1.0,32.058500100000025,32.502000124999995,31.103999799999997
482,5/25/2012,30.16,30.41,29.200001,29.809998999999998,757000,29.809998999999998,-1.0,32.07580009000002,32.31400005,30.927499749999992
483,5/29/2012,30.01,31.93,30.01,31.690001000000002,1650000,31.690001000000002,1.0,32.115600110000024,32.175250025,30.855499749999996
484,5/30/2012,31.08,31.42,30.24,30.41,1307200,30.41,-1.0,32.14850010000002,32.020999975,30.686999799999995
485,5/31/2012,30.07,30.290001,28.75,29.5,1118700,29.5,-1.0,32.17440010000002,31.808250025,30.46499984999999
486,6/1/2012,28.530001000000002,29.16,27.76,28.15,885800,28.15,-1.0,32.18340010000002,31.637000025000003,30.24949989999999
487,6/4/2012,28.030001000000002,28.41,27.110001,27.879998999999998,1030900,27.879998999999998,-1.0,32.18600008000002,31.472,30.051999849999987
488,6/5/2012,27.84,28.389999,27.559998999999998,27.91,630900,27.91,1.0,32.18280008000002,31.340999950000004,29.823999799999985
489,6/6/2012,28.200001,29.450001,28.139999,29.219998999999998,909900,29.219998999999998,1.0,32.19250007000002,31.25999995,29.775499699999983
490,6/7/2012,29.809998999999998,29.870001000000002,28.85,28.93,492100,28.93,-1.0,32.25390006000002,31.155999950000005,29.718999749999984
491,6/8/2012,28.860001,30.190001000000002,28.15,30.08,881100,30.08,1.0,32.28870006000002,31.071999975000004,29.574999799999983
492,6/11/2012,30.309998999999998,31.0,28.959999,29.120001000000002,636000,29.120001000000002,-1.0,32.31180008000002,30.96025000000001,29.418499849999982
493,6/12/2012,29.23,29.84,28.809998999999998,29.66,569000,29.66,1.0,32.340800080000015,30.89550000000001,29.398499899999983
494,6/13/2012,29.549999,30.639999,29.469998999999998,29.77,844100,29.77,1.0,32.372500080000016,30.83374995000001,29.415499899999986
495,6/14/2012,30.18,30.65,28.620001000000002,29.389999,872200,29.389999,-1.0,32.39870007000002,30.751999925000007,29.42599984999999
496,6/15/2012,29.389999,29.950001,28.809998999999998,29.91,646800,29.91,1.0,32.42360007000001,30.670749925000006,29.492999849999983
497,6/18/2012,29.940001000000002,32.330002,29.5,31.84,1256800,31.84,1.0,32.46230008000002,30.637749925,29.70699989999999
498,6/19/2012,32.02,32.66,31.5,32.09,911100,32.09,1.0,32.49380007000002,30.641499900000003,29.87299989999999
499,6/20/2012,33.5,34.5,33.209998999999996,33.779999,3422400,33.779999,1.0,32.53830006000002,30.690499875000008,30.02199989999999
500,6/21/2012,34.259997999999996,34.279999,31.84,32.189999,1891900,32.189999,-1.0,32.56450005000002,30.67249985,30.08049984999999
501,6/22/2012,32.599998,33.98,32.459998999999996,33.790001000000004,3046600,33.790001000000004,1.0,32.61170006000002,30.679999825000003,30.255999849999988
502,6/25/2012,33.939999,34.119999,32.75,33.110001000000004,1498500,33.110001000000004,-1.0,32.64700007000002,30.674249850000006,30.42099994999999
503,6/26/2012,32.049999,32.349998,31.389999,31.610001,2613900,31.610001,-1.0,32.660600080000016,30.636249850000006,30.41699994999999
