Date,Open,High,Low,Close,Adj Close,Volume,300ma,100ma,40ma,20ma
2017-05-15,5.38,5.38,5.25,5.28,5.28,2254600,5.738152173913043,5.738152173913043,5.3817499999999985,5.2265
2017-05-16,5.32,5.34,5.23,5.24,5.24,1285000,5.732795698924731,5.732795698924731,5.379499999999998,5.196
2017-05-17,5.3,5.36,5.22,5.26,5.26,2941600,5.727765957446808,5.727765957446808,5.380499999999999,5.1815
2017-05-18,5.21,5.34,5.2,5.28,5.28,6561400,5.7230526315789465,5.7230526315789465,5.381999999999999,5.1715
2017-05-19,5.39,5.46,5.38,5.46,5.46,3068200,5.7203124999999995,5.7203124999999995,5.389999999999999,5.177999999999999
2017-05-22,5.5,5.54,5.47,5.49,5.49,1921400,5.717938144329897,5.717938144329897,5.39725,5.1884999999999994
2017-05-23,5.52,5.57,5.49,5.56,5.56,1771400,5.716326530612244,5.716326530612244,5.4072499999999994,5.197999999999999
2017-05-24,5.55,5.61,5.5,5.54,5.54,2672000,5.714545454545454,5.714545454545454,5.4155,5.209499999999999
2017-05-25,5.47,5.52,5.12,5.16,5.16,6582900,5.708999999999999,5.708999999999999,5.40975,5.202499999999999
2017-05-26,5.21,5.32,5.19,5.3,5.3,2145900,5.704950495049503,5.700499999999998,5.4037500000000005,5.2029999999999985
2017-05-30,5.25,5.32,5.21,5.27,5.27,1770000,5.700686274509802,5.690699999999998,5.396,5.204999999999998
2017-05-31,5.11,5.16,5.03,5.1,5.1,2245100,5.694854368932037,5.678399999999998,5.3854999999999995,5.206499999999998
2017-06-01,5.11,5.22,5.06,5.06,5.06,2924000,5.688749999999998,5.665799999999997,5.371499999999999,5.204499999999999
2017-06-02,5.0,5.08,4.94,5.04,5.04,2792100,5.682571428571426,5.655599999999997,5.3575,5.215499999999999
2017-06-05,4.94,5.01,4.92,5.0,5.0,3408700,5.6761320754716955,5.646199999999997,5.339499999999999,5.218499999999999
2017-06-06,4.97,5.13,4.96,5.12,5.12,3066900,5.67093457943925,5.635999999999997,5.32275,5.2269999999999985
2017-06-07,5.03,5.05,4.81,4.82,4.82,11465800,5.6630555555555535,5.6218999999999975,5.2955,5.2219999999999995
2017-06-08,4.79,4.88,4.77,4.83,4.83,4498500,5.655412844036696,5.608699999999998,5.268,5.207999999999999
2017-06-09,4.84,4.9,4.82,4.86,4.86,2164000,5.648181818181817,5.595999999999998,5.24225,5.192499999999999
2017-06-12,4.93,4.97,4.87,4.87,4.87,2736600,5.64117117117117,5.584599999999998,5.216000000000001,5.177
2017-06-13,4.87,4.93,4.8,4.92,4.92,2932100,5.634732142857141,5.573699999999998,5.192750000000001,5.159
2017-06-14,4.88,4.92,4.68,4.73,4.73,6224600,5.626725663716813,5.559799999999998,5.164750000000001,5.1335
2017-06-15,4.7,4.72,4.68,4.7,4.7,2729400,5.618596491228069,5.545999999999998,5.1435,5.1055
2017-06-16,4.74,4.76,4.71,4.76,4.76,2843600,5.611130434782607,5.532499999999998,5.125500000000001,5.0795
2017-06-19,4.77,4.79,4.67,4.69,4.69,3020400,5.603189655172413,5.518499999999998,5.1095,5.041
2017-06-20,4.58,4.67,4.54,4.67,4.67,4533800,5.5952136752136745,5.5029999999999974,5.09425,5.000000000000001
2017-06-21,4.68,4.76,4.49,4.53,4.53,5200300,5.586186440677965,5.486899999999997,5.07325,4.948500000000001
2017-06-22,4.57,4.62,4.46,4.47,4.47,5449900,5.576806722689074,5.470699999999997,5.052249999999999,4.8950000000000005
