Date,Open,High,Low,Close,Volume
2017-06-23,956.83,966.0,954.2,965.59,1527856
2017-06-26,969.9,973.31,950.79,952.27,1598355
2017-06-27,942.46,948.29,926.85,927.33,2579930
2017-06-28,929.0,942.75,916.0,940.49,2721406
2017-06-29,929.92,931.26,910.62,917.79,3299176
2017-06-30,926.05,926.05,908.31,908.73,2090226
2017-07-03,912.18,913.94,894.79,898.7,1710373
2017-07-05,901.76,914.51,898.5,911.71,1813884
2017-07-06,904.12,914.94,899.7,906.69,1424503
2017-07-07,908.85,921.54,908.85,918.59,1637785
2017-07-10,921.77,930.38,919.59,928.8,1192825
2017-07-11,929.54,931.43,922.0,930.09,1113235
2017-07-12,938.68,946.3,934.47,943.83,1532144
2017-07-13,946.29,954.45,943.01,947.16,1294687
2017-07-14,952.0,956.91,948.0,955.99,1053774
2017-07-17,957.0,960.74,949.24,953.42,1165537
2017-07-18,953.0,968.04,950.6,965.4,1153964
2017-07-19,967.84,973.04,964.03,970.89,1224540
2017-07-20,975.0,975.9,961.51,968.15,1624463
2017-07-21,962.25,973.23,960.15,972.92,1711000
2017-07-24,972.22,986.2,970.77,980.34,3248347
2017-07-25,953.81,959.7,945.4,950.7,4660979
2017-07-26,954.68,955.0,942.28,947.8,2088256
2017-07-27,951.78,951.78,920.0,934.09,3212996
2017-07-28,929.4,943.83,927.5,941.53,1846351
2017-07-31,941.89,943.59,926.04,930.5,1970095
2017-08-01,932.38,937.45,929.26,930.83,1277734
2017-08-02,928.61,932.6,916.68,930.39,1824448
2017-08-03,930.34,932.24,922.24,923.65,1202512
2017-08-04,926.75,930.31,923.03,927.96,1082267
2017-08-07,929.06,931.7,926.5,929.36,1032239
2017-08-08,927.09,935.81,925.61,926.79,1061579
2017-08-09,920.61,925.98,917.25,922.9,1192081
2017-08-10,917.55,919.26,906.13,907.24,1823967
2017-08-11,907.97,917.78,905.58,914.39,1206782
2017-08-14,922.53,924.67,918.19,922.67,1064530
2017-08-15,924.23,926.55,919.82,922.22,883369
2017-08-16,925.29,932.7,923.44,926.96,1006711
2017-08-17,925.78,926.86,910.98,910.98,1277238
2017-08-18,910.31,915.28,907.15,910.67,1342689
2017-08-21,910.0,913.0,903.4,906.66,943441
2017-08-22,912.72,925.86,911.48,924.69,1166737
2017-08-23,921.93,929.93,919.36,927.0,1090248
2017-08-24,928.66,930.84,915.5,921.28,1270306
2017-08-25,923.49,925.56,915.5,915.89,1053376
2017-08-28,916.0,919.24,911.87,913.81,1086484
2017-08-29,905.1,923.33,905.0,921.29,1185564
2017-08-30,920.05,930.82,919.65,929.57,1301225
2017-08-31,931.76,941.98,931.76,939.33,1582579
2017-09-01,941.13,942.48,935.15,937.34,947374
2017-09-05,933.08,937.0,921.96,928.45,1348292
2017-09-06,930.15,930.92,919.27,927.81,1527650
2017-09-07,931.73,936.41,923.62,935.95,1212743
2017-09-08,936.49,936.99,924.88,926.5,1011538
2017-09-11,934.25,938.38,926.92,929.08,1266991
2017-09-12,932.59,933.48,923.86,932.07,1134397
2017-09-13,930.66,937.25,929.86,935.09,1102631
2017-09-14,931.25,932.77,924.0,925.11,1397644
2017-09-15,924.66,926.49,916.36,920.29,2505430
2017-09-18,920.01,922.08,910.6,915.0,1306922
2017-09-19,917.42,922.42,912.55,921.81,936654
2017-09-20,922.98,933.88,922.0,931.58,1669763
2017-09-21,933.0,936.53,923.83,932.45,1290607
2017-09-22,927.75,934.73,926.48,928.53,1052704
2017-09-25,925.45,926.4,909.7,920.97,1856822
2017-09-26,923.72,930.82,921.14,924.86,1666861
2017-09-27,927.74,949.9,927.74,944.49,2212600
2017-09-28,941.36,950.69,940.55,949.5,1020312
2017-09-29,952.0,959.79,951.51,959.11,1580994
2017-10-02,959.98,962.54,947.84,953.27,1283444
2017-10-03,954.0,958.0,949.14,957.79,888346
2017-10-04,957.0,960.39,950.69,951.68,952391
2017-10-05,955.49,970.91,955.18,969.96,1213816
2017-10-06,966.7,979.46,963.36,978.89,1173882
2017-10-09,980.0,985.42,976.11,977.0,891355
2017-10-10,980.0,981.57,966.08,972.6,968362
2017-10-11,973.72,990.71,972.25,989.25,1693274
2017-10-12,987.45,994.12,985.0,987.83,1262793
2017-10-13,992.0,997.21,989.0,989.68,1169777
2017-10-16,992.1,993.91,984.0,992.0,910543
2017-10-17,990.29,996.44,988.59,992.18,1290186
2017-10-18,991.77,996.72,986.97,992.81,1057581
2017-10-19,986.0,988.88,978.39,984.45,1313575
2017-10-20,989.44,991.0,984.58,988.2,1183186
2017-10-23,989.52,989.52,966.12,968.45,1478448
2017-10-24,970.0,972.23,961.0,970.54,1212153
2017-10-25,968.37,976.09,960.52,973.33,1211262
2017-10-26,980.0,987.6,972.2,972.56,2042149
2017-10-27,1009.19,1048.39,1008.2,1019.27,5167689
2017-10-30,1014.0,1024.97,1007.5,1017.11,2085062
2017-10-31,1015.22,1024.0,1010.42,1016.64,1331391
2017-11-01,1017.21,1029.67,1016.95,1025.5,1373444
2017-11-02,1021.76,1028.09,1013.01,1025.58,1048970
2017-11-03,1022.11,1032.65,1020.31,1032.48,1076350
2017-11-06,1028.99,1034.87,1025.0,1025.9,1125185
2017-11-07,1027.27,1033.97,1025.13,1033.33,1112331
2017-11-08,1030.52,1043.52,1028.45,1039.85,1088716
2017-11-09,1033.99,1033.99,1019.67,1031.26,1245246
2017-11-10,1026.46,1030.76,1025.28,1028.07,720676
2017-11-13,1023.42,1031.58,1022.57,1025.75,885779
2017-11-14,1022.59,1026.81,1014.15,1026.0,959222
2017-11-15,1019.21,1024.09,1015.42,1020.91,853992
2017-11-16,1022.52,1035.92,1022.52,1032.5,1129688
2017-11-17,1034.01,1034.42,1017.75,1019.09,1397064
2017-11-20,1020.26,1022.61,1017.5,1018.38,953470
2017-11-21,1023.31,1035.11,1022.66,1034.49,1096999
2017-11-22,1035.0,1039.71,1031.43,1035.96,746878
2017-11-24,1035.87,1043.18,1035.0,1040.61,536996
2017-11-27,1040.0,1055.46,1038.44,1054.21,1307881
2017-11-28,1055.09,1062.38,1040.0,1047.41,1424394
2017-11-29,1042.68,1044.08,1015.65,1021.66,2459426
2017-11-30,1022.37,1028.49,1015.0,1021.41,1724031
2017-12-01,1015.8,1022.49,1002.02,1010.17,1909566
2017-12-04,1012.66,1016.1,995.57,998.68,1906439
2017-12-05,995.94,1020.61,988.28,1005.15,2067318
2017-12-06,1001.5,1024.97,1001.14,1018.38,1271964
2017-12-07,1020.43,1034.24,1018.07,1030.93,1458242
2017-12-08,1037.49,1042.05,1032.52,1037.05,1290774
2017-12-11,1035.5,1043.8,1032.05,1041.1,1192838
2017-12-12,1039.63,1050.31,1033.69,1040.48,1279659
2017-12-13,1046.12,1046.66,1038.38,1040.61,1282677
2017-12-14,1045.0,1058.5,1043.11,1049.15,1558835
2017-12-15,1054.61,1067.62,1049.5,1064.19,3275931
2017-12-18,1066.08,1078.49,1062.0,1077.14,1554552
2017-12-19,1075.2,1076.84,1063.55,1070.68,1338725
2017-12-20,1071.78,1073.38,1061.52,1064.95,1268582
2017-12-21,1064.95,1069.33,1061.79,1063.63,995703
2017-12-22,1061.11,1064.2,1059.44,1060.12,755095
2017-12-26,1058.07,1060.12,1050.2,1056.74,761237
2017-12-27,1057.39,1058.37,1048.05,1049.37,1271911
2017-12-28,1051.6,1054.75,1044.77,1048.14,837121
2017-12-29,1046.72,1049.7,1044.9,1046.4,887511
2018-01-02,1048.34,1066.94,1045.23,1065.0,1237564
2018-01-03,1064.31,1086.29,1063.21,1082.48,1430170
2018-01-04,1088.0,1093.57,1084.0,1086.4,1004605
2018-01-05,1094.0,1104.25,1092.0,1102.23,1279123
2018-01-08,1102.23,1111.27,1101.62,1106.94,1047603
2018-01-09,1109.4,1110.57,1101.23,1106.26,902541
2018-01-10,1097.1,1104.6,1096.11,1102.61,1042793
2018-01-11,1106.3,1106.52,1099.59,1105.52,978292
2018-01-12,1102.41,1124.29,1101.15,1122.26,1720533
2018-01-16,1132.51,1139.91,1117.83,1121.76,1575261
2018-01-17,1126.22,1132.6,1117.01,1131.98,1202639
2018-01-18,1131.41,1132.51,1117.5,1129.79,1198234
2018-01-19,1131.83,1137.86,1128.3,1137.51,1778229
2018-01-22,1137.49,1159.88,1135.11,1155.81,1617975
2018-01-23,1159.85,1171.63,1158.75,1169.97,1333056
2018-01-24,1177.33,1179.86,1161.05,1164.24,1416625
2018-01-25,1172.53,1175.94,1162.76,1170.37,1480540
2018-01-26,1175.08,1175.84,1158.11,1175.84,2018755
2018-01-29,1176.48,1186.89,1171.98,1175.58,1378913
2018-01-30,1167.83,1176.52,1163.52,1163.69,1556346
2018-01-31,1170.57,1173.0,1159.13,1169.94,1538688
2018-02-01,1162.61,1174.0,1157.52,1167.7,2412114
2018-02-02,1122.0,1123.07,1107.28,1111.9,4857943
2018-02-05,1090.6,1110.0,1052.03,1055.8,3798301
2018-02-06,1027.18,1081.71,1023.14,1080.6,3447956
2018-02-07,1081.54,1081.78,1048.26,1048.58,2369232
2018-02-08,1055.41,1058.62,1000.66,1001.52,2859136
2018-02-09,1017.25,1043.97,992.56,1037.78,3505862
2018-02-12,1048.0,1061.5,1040.93,1051.94,2057718
2018-02-13,1045.0,1058.37,1044.09,1052.1,1265054
2018-02-14,1048.95,1071.72,1046.75,1069.7,1555787
2018-02-15,1079.07,1091.48,1064.34,1089.52,1781728
